station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,77.33333333333333,82.0,86.0,92.66666666666667,94.33333333333333,92.33333333333333,95.0,93.66666666666667,95.66666666666667,96.33333333333333,93.66666666666667,87.66666666666667,88.66666666666667,90.33333333333333,91.66666666666667,88.66666666666667,81.33333333333333,65.0,47.333333333333336,37.666666666666664,34.666666666666664,37.333333333333336,38.333333333333336,41.333333333333336
69052,90.33333333333333,93.66666666666667,91.33333333333333,91.0,91.66666666666667,91.33333333333333,91.33333333333333,88.66666666666667,87.66666666666667,72.0,67.33333333333333,65.66666666666667,69.33333333333333,65.66666666666667,62.333333333333336,60.666666666666664,53.666666666666664,48.0,43.0,38.666666666666664,36.333333333333336,32.333333333333336,30.0,31.333333333333332
72201,79.0,84.0,84.0,82.0,88.0,91.0,88.0,96.0,94.0,94.0,90.0,91.0,84.0,96.0,88.0,79.0,82.0,100.0,97.0,94.0,85.0,74.0,79.0,82.0
72202,72.0,79.0,85.0,90.0,90.0,94.0,100.0,100.0,100.0,94.0,94.0,94.0,96.0,100.0,97.0,88.0,76.0,85.0,79.0,94.0,85.0,74.0,52.0,64.0
72203,74.0,76.0,81.0,84.0,91.0,97.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,97.0,82.0,82.0,77.0,71.0,62.0,48.0,52.0,57.0,61.0,53.0
72204,82.0,85.0,84.0,87.0,81.0,78.0,84.0,87.0,87.0,90.0,94.0,91.0,91.0,87.0,87.0,82.0,68.0,70.0,76.0,59.0,50.0,28.0,23.0,31.0
72205,60.0,58.0,62.0,71.0,76.0,81.0,90.0,93.0,93.0,90.0,90.0,87.0,87.0,78.0,78.0,70.0,87.0,84.0,68.0,48.0,32.0,30.0,31.0,43.0
72206,76.0,84.0,84.0,84.0,93.0,97.0,97.0,97.0,96.0,97.0,93.0,90.0,93.0,93.0,93.0,86.0,70.0,54.0,48.0,46.0,47.0,49.0,49.0,52.0
72210,87.66666666666667,94.33333333333333,93.0,93.55555555555556,94.1111111111111,95.0,94.55555555555556,94.55555555555556,94.1111111111111,93.33333333333333,89.8888888888889,93.66666666666667,86.44444444444444,85.66666666666667,84.66666666666667,83.0,88.66666666666667,78.66666666666667,66.0,54.666666666666664,59.666666666666664,59.333333333333336,61.333333333333336,63.0
72211,84.0,90.0,93.0,90.0,93.0,97.0,93.0,97.0,93.0,90.0,90.0,87.0,84.0,87.0,81.0,81.0,87.0,81.0,63.0,52.0,54.0,54.0,56.0,60.0
72212,88.0,94.0,90.0,89.66666666666667,95.33333333333333,97.33333333333333,94.66666666666667,96.33333333333333,100.0,100.0,99.0,99.0,93.0,100.0,92.0,74.0,62.0,50.0,46.0,39.0,37.0,36.0,40.0,44.0
72213,42.0,90.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,90.0,91.0,79.0,53.0,49.0,55.0,53.0,48.0,45.0,48.0,48.0
72214,100.0,97.0,100.0,100.0,100.0,96.0,96.0,96.0,93.0,93.0,97.0,90.0,72.0,80.0,71.0,61.0,59.0,55.0,48.0,48.0,47.0,44.0,42.0,40.0
72220,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,77.0,80.0,72.0,62.0,56.0,57.0,47.0,44.0,42.0,38.0,36.0,39.0
72221,93.0,99.0,94.0,93.0,100.0,95.0,95.0,94.0,91.0,73.0,71.0,69.0,70.0,69.0,64.0,63.0,52.0,48.0,42.0,38.0,36.0,30.0,29.0,31.0
72222,87.0,90.0,87.0,90.0,90.0,93.0,90.0,87.0,69.0,66.0,71.0,63.0,68.0,66.0,58.0,58.0,50.0,45.0,42.0,38.0,30.0,28.0,31.0,29.0
74756,78.0,76.0,81.0,81.0,96.66666666666667,96.66666666666667,97.66666666666667,97.66666666666667,96.66666666666667,96.0,94.66666666666667,84.0,90.0,86.0,86.0,81.0,63.0,49.0,44.0,42.0,37.0,38.0,39.0,45.0
74775,96.0,97.0,99.0,99.0,100.0,100.0,97.0,95.0,95.0,95.0,88.0,73.0,81.0,76.0,67.0,66.0,58.0,55.0,53.0,47.0,44.0,39.0,37.0,37.0
74776,97.0,96.0,96.0,100.0,96.0,96.0,97.0,97.0,97.0,87.0,69.0,72.0,71.0,66.0,66.0,66.0,58.0,54.0,49.0,44.0,41.0,36.0,32.0,34.0
74777,94.0,95.0,96.0,96.0,95.0,95.0,95.0,94.0,91.0,74.0,69.0,71.0,75.0,70.0,65.0,63.0,59.0,51.0,46.0,42.0,38.0,34.0,32.0,33.0
74781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,89.0,76.0,67.0,58.0,63.0,63.0,57.0,54.0,51.0,51.0,52.0
74782,84.0,84.0,87.0,87.0,100.0,100.0,100.0,97.0,96.0,100.0,93.0,93.0,90.0,96.0,96.0,90.0,72.0,65.0,54.0,48.0,43.0,47.0,47.0,52.0
74783,72.0,76.0,82.0,83.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,94.0,82.0,72.0,91.0,100.0,100.0,100.0,57.0,61.0,65.0
74787,93.0,90.0,97.0,100.0,97.0,93.0,93.0,93.0,96.0,100.0,96.0,93.0,87.0,87.0,81.0,86.0,97.0,93.0,73.0,51.0,33.0,34.0,33.0,38.0
74788,91.0,93.0,95.0,94.0,96.0,97.0,97.0,96.0,96.0,95.0,88.0,91.0,87.0,85.0,82.0,85.0,88.0,78.0,64.0,58.0,57.0,60.0,61.0,64.0
74793,67.0,69.0,76.0,81.0,90.0,93.0,96.0,96.0,93.0,94.0,90.0,90.0,90.0,90.0,81.0,73.0,84.0,75.0,81.0,57.0,39.0,38.0,45.0,56.0
74794,84.0,88.0,89.0,90.0,84.0,81.0,81.0,84.0,89.0,90.0,90.0,88.0,88.0,86.0,83.0,62.0,66.0,79.0,78.0,60.0,45.0,25.0,25.0,32.0
74795,96.0,100.0,100.0,99.0,99.0,89.0,91.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,68.0,76.0,89.0,67.0,54.0,31.0,27.0,34.0
74796,66.0,69.66666666666667,75.0,83.66666666666667,90.33333333333333,91.33333333333333,93.0,93.55555555555556,94.77777777777777,94.0,92.66666666666667,94.66666666666667,94.66666666666667,88.33333333333333,80.33333333333333,74.0,66.33333333333333,61.333333333333336,66.33333333333333,60.0,45.333333333333336,36.0,31.333333333333332,38.333333333333336
DFSW4,92.0,95.66666666666667,95.33333333333333,96.33333333333333,94.0,96.33333333333333,94.0,91.33333333333333,75.33333333333333,71.66666666666667,70.33333333333333,72.33333333333333,71.0,71.0,63.333333333333336,61.0,55.333333333333336,49.333333333333336,44.666666666666664,40.666666666666664,34.333333333333336,31.666666666666668,30.333333333333332,33.0
F5PS0,97.0,94.66666666666667,96.66666666666667,98.0,96.66666666666667,96.66666666666667,97.0,97.0,95.0,89.66666666666667,76.0,77.33333333333333,73.0,69.33333333333333,66.33333333333333,66.33333333333333,66.66666666666667,62.333333333333336,56.333333333333336,52.0,48.666666666666664,42.666666666666664,39.666666666666664,39.333333333333336
