station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,83.66666666666667,79.66666666666667,81.66666666666667,88.0,92.0,93.66666666666667,95.33333333333333,93.66666666666667,94.66666666666667,96.33333333333333,94.66666666666667,96.0,92.33333333333333,87.0,79.0,75.33333333333333,69.66666666666667,66.0,59.333333333333336,55.333333333333336,67.66666666666667,75.66666666666667,76.33333333333333,77.0
69052,76.66666666666667,80.33333333333333,84.0,84.33333333333333,85.0,82.66666666666667,70.66666666666667,73.66666666666667,71.0,78.0,81.0,81.0,79.33333333333333,72.0,64.0,56.666666666666664,49.666666666666664,48.666666666666664,50.666666666666664,56.333333333333336,48.666666666666664,43.333333333333336,49.0,50.666666666666664
72201,79.0,85.0,82.0,88.0,87.0,87.0,87.0,90.0,94.0,94.0,90.0,94.0,82.0,74.0,85.0,82.0,80.0,72.0,72.0,75.0,70.0,72.0,77.0,77.0
72202,72.0,74.0,79.0,85.0,85.0,90.0,90.0,90.0,96.0,96.0,96.0,96.0,87.0,79.0,74.0,67.0,59.0,57.0,54.0,54.0,56.0,54.0,56.0,61.0
72203,72.0,77.0,74.0,79.0,88.0,88.0,90.0,96.0,100.0,100.0,100.0,100.0,96.0,90.0,85.0,80.0,80.0,72.0,63.0,61.0,68.0,65.0,61.0,65.0
72204,74.0,74.0,82.0,76.0,74.0,79.0,82.0,88.0,88.0,88.0,88.0,90.0,87.0,79.0,70.0,68.0,64.0,60.0,56.0,52.0,54.0,54.0,70.0,67.0
72205,72.0,79.0,79.0,84.0,87.0,96.0,93.0,96.0,96.0,93.0,93.0,93.0,90.0,79.0,77.0,70.0,68.0,59.0,59.0,56.0,54.0,52.0,51.0,57.0
72206,57.0,72.0,79.0,82.0,90.0,84.0,88.0,90.0,94.0,90.0,94.0,96.0,87.0,74.0,70.0,70.0,63.0,60.0,56.0,50.0,51.0,51.0,49.0,47.0
72210,84.33333333333333,87.66666666666667,89.66666666666667,89.66666666666667,90.66666666666667,91.0,91.0,90.0,90.0,91.0,93.33333333333333,90.0,87.33333333333333,83.66666666666667,78.66666666666667,75.66666666666667,74.0,69.66666666666667,68.66666666666667,70.0,68.66666666666667,69.66666666666667,72.33333333333333,78.0
72211,79.0,82.0,82.0,85.0,85.0,85.0,85.0,82.0,82.0,85.0,85.0,85.0,82.0,79.0,77.0,70.0,70.0,68.0,66.0,66.0,68.0,65.0,68.0,72.0
72212,86.0,96.0,99.0,89.33333333333333,90.0,88.0,94.0,96.0,91.66666666666667,89.66666666666667,88.0,89.66666666666667,98.0,94.0,87.0,89.0,75.0,73.0,74.0,78.0,72.0,74.0,81.0,74.0
72213,56.0,77.0,88.0,90.0,90.0,91.0,90.0,88.0,75.0,82.0,89.0,91.0,88.0,82.0,73.0,68.0,62.0,48.0,50.0,32.0,33.0,29.0,28.0,28.0
72214,63.0,67.0,71.0,65.0,71.0,74.0,79.0,87.0,88.0,90.0,93.0,90.0,88.0,79.0,72.0,65.0,61.0,50.0,52.0,46.0,44.0,43.0,36.0,41.0
72220,58.0,72.0,77.0,88.0,94.0,96.0,97.0,97.0,97.0,97.0,96.0,97.0,94.0,85.0,75.0,77.0,77.0,68.0,66.0,58.0,49.0,51.0,52.0,54.0
