id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,40.0,62.0,58.333333333333336,63.0,60.666666666666664,67.0,71.66666666666667,78.0,82.33333333333333,87.66666666666667,89.66666666666667,92.66666666666667,92.66666666666667,93.66666666666667,83.33333333333333,68.33333333333333,57.0,51.0,47.333333333333336,43.666666666666664,42.333333333333336,40.333333333333336,38.666666666666664,40.0
2,77.66666666666667,83.66666666666667,86.0,82.66666666666667,79.66666666666667,75.0,76.0,76.33333333333333,79.33333333333333,82.0,82.33333333333333,83.66666666666667,84.0,80.33333333333333,77.66666666666667,72.0,63.666666666666664,58.333333333333336,57.666666666666664,62.333333333333336,56.0,59.333333333333336,54.666666666666664,52.333333333333336
3,64.0,64.0,64.0,66.0,69.0,71.0,69.0,66.0,66.0,64.0,64.0,64.0,62.0,62.0,58.0,56.0,60.0,58.0,60.0,55.0,56.0,58.0,60.0,60.0
4,60.0,64.0,68.0,66.0,64.0,68.0,78.0,82.0,84.0,84.0,84.0,84.0,84.0,76.0,67.0,58.0,56.0,51.0,52.0,52.0,51.0,53.0,58.0,60.0
5,56.0,46.0,55.0,70.0,76.0,78.0,78.0,78.0,84.0,96.0,97.0,100.0,93.0,78.0,71.0,62.0,53.0,54.0,58.0,56.0,56.0,56.0,60.0,62.0
6,50.0,61.0,66.0,75.0,75.0,73.0,76.0,81.0,84.0,87.0,84.0,84.0,76.0,63.0,46.0,48.0,46.0,40.0,35.0,35.0,55.0,58.0,60.0,67.0
7,33.0,44.0,49.0,47.0,63.0,72.0,75.0,78.0,86.0,90.0,90.0,86.0,84.0,63.0,41.0,48.0,46.0,43.0,46.0,43.0,40.0,40.0,42.0,53.0
8,30.0,39.0,48.0,50.0,50.0,58.0,65.0,81.0,87.0,93.0,96.0,96.0,96.0,90.0,71.0,66.0,56.0,47.0,37.0,36.0,36.0,32.0,34.0,38.0
9,45.666666666666664,53.666666666666664,63.666666666666664,73.66666666666667,81.66666666666667,81.33333333333333,84.33333333333333,87.66666666666667,89.0,90.66666666666667,90.44444444444444,94.33333333333333,93.77777777777777,88.33333333333333,71.33333333333333,67.33333333333333,68.0,64.66666666666667,60.333333333333336,61.0,63.666666666666664,65.33333333333333,66.0,65.66666666666667
10,36.0,50.0,59.0,66.0,68.0,76.0,78.0,81.0,78.0,84.0,81.0,90.0,93.0,82.0,69.0,62.0,58.0,52.0,58.0,60.0,58.0,58.0,60.0,62.0
11,57.0,72.0,91.0,98.0,94.0,91.0,33.0,93.33333333333333,92.0,95.66666666666667,94.66666666666667,98.0,33.0,94.0,88.0,64.0,56.0,55.0,54.0,54.0,50.0,53.0,59.0,65.0
12,14.0,18.0,21.0,25.0,45.0,78.0,90.0,90.0,90.0,91.0,90.0,91.0,90.0,89.0,70.0,57.0,48.0,42.0,37.0,33.0,34.0,36.0,36.0,39.0
13,71.0,81.0,90.0,93.0,100.0,100.0,96.0,97.0,100.0,100.0,100.0,97.0,96.0,84.0,66.0,62.0,58.0,56.0,49.0,44.0,45.0,48.0,48.0,47.0
14,87.0,93.0,93.0,93.0,97.0,97.0,100.0,100.0,97.0,93.0,97.0,97.0,93.0,81.0,71.0,60.0,64.0,62.0,58.0,60.0,65.0,62.0,74.0,76.0
15,78.0,86.0,88.0,83.0,83.0,77.0,78.0,78.0,81.0,85.0,86.0,87.0,88.0,83.0,77.0,72.0,63.0,57.0,49.0,59.0,34.0,46.0,30.0,29.0
16,81.0,84.0,87.0,87.0,87.0,87.0,87.0,81.0,84.0,84.0,84.0,84.0,84.0,82.0,76.0,73.0,60.0,52.0,48.0,37.0,48.0,32.0,32.0,32.0
17,28.0,44.0,47.0,60.0,63.0,78.0,80.0,84.0,86.0,90.0,93.0,97.0,93.0,90.0,76.0,60.0,52.0,47.0,46.0,43.0,40.0,40.0,44.0,46.0
