station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,89.33333333333333,92.66666666666667,94.0,96.77777777777777,95.66666666666667,97.22222222222223,98.44444444444444,97.33333333333333,97.33333333333333,89.88888888888887,99.1111111111111,98.8888888888889,97.0,96.33333333333333,88.8888888888889,80.55555555555556,69.66666666666667,67.33333333333333,65.33333333333333,64.0,65.33333333333333,74.0,90.66666666666667,92.66666666666667
69052,91.0,96.0,95.66666666666667,96.0,95.33333333333333,95.0,96.0,97.0,97.0,97.0,96.33333333333333,94.33333333333333,93.0,96.0,93.0,92.66666666666667,92.66666666666667,92.0,84.66666666666667,82.66666666666667,86.0,82.0,80.33333333333333,86.0
72201,70.0,70.0,70.0,72.0,77.0,79.0,79.0,79.0,82.0,79.0,82.0,85.0,82.0,74.0,72.0,72.0,65.0,67.0,65.0,65.0,67.0,67.0,70.0,74.0
72202,76.0,79.0,82.0,85.0,84.0,90.0,90.0,94.0,87.0,94.0,94.0,91.0,90.0,85.0,77.0,70.0,70.0,65.0,65.0,70.0,68.0,68.0,70.0,74.0
72203,76.0,79.0,88.0,90.0,96.0,90.0,90.0,97.0,94.0,97.0,100.0,96.0,100.0,94.0,82.0,70.0,68.0,74.0,72.0,70.0,70.0,74.0,77.0,76.0
72204,77.0,79.0,82.0,84.0,84.0,90.0,90.0,94.0,97.0,97.0,93.0,97.0,96.0,94.0,76.0,70.0,70.0,72.0,72.0,72.0,72.0,70.0,72.0,76.0
72205,82.0,84.0,90.0,90.0,87.0,87.0,82.0,88.0,88.0,81.0,91.0,94.0,87.0,85.0,79.0,69.0,58.0,55.0,51.0,46.0,48.0,50.0,51.0,69.0
72206,79.0,84.0,88.0,94.0,90.0,94.0,94.0,96.0,97.0,96.0,93.0,100.0,100.0,90.0,94.0,84.0,74.0,74.0,65.0,77.0,82.0,79.0,84.0,87.0
72210,75.33333333333333,78.66666666666667,80.0,86.33333333333333,90.0,90.33333333333333,92.66666666666667,92.66666666666667,93.33333333333333,89.44444444444444,90.1111111111111,90.66666666666667,91.44444444444444,89.44444444444444,87.0,84.66666666666667,78.66666666666667,64.33333333333333,60.666666666666664,58.666666666666664,57.333333333333336,55.666666666666664,61.666666666666664,74.66666666666667
72211,74.0,79.0,85.0,82.0,79.0,82.0,84.0,84.0,85.0,85.0,85.0,88.0,91.0,85.0,79.0,76.0,65.0,59.0,61.0,63.0,57.0,55.0,65.0,71.0
72212,88.0,95.0,94.0,99.0,97.0,97.0,96.0,95.0,95.0,96.0,96.0,92.0,95.0,96.0,87.0,77.0,71.0,58.0,59.0,57.0,58.0,66.0,68.0,80.0
72213,90.0,91.0,90.0,90.0,91.0,90.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,84.0,82.0,79.0,74.0,75.0,76.0,85.0,90.0
72214,94.0,96.0,100.0,96.0,97.0,100.0,100.0,96.0,90.0,87.0,93.0,96.0,96.0,90.0,87.0,73.0,74.0,76.0,74.0,74.0,74.0,67.0,69.0,79.0
72220,94.0,94.0,94.0,94.0,94.0,91.0,94.0,93.0,93.0,87.0,90.0,93.0,90.0,93.0,79.0,76.0,74.0,85.0,90.0,90.0,82.0,88.0,90.0,91.0
72221,95.0,98.0,97.0,97.0,96.0,97.0,99.0,100.0,100.0,100.0,99.0,98.0,97.0,98.0,96.0,96.0,97.0,95.0,87.0,82.0,87.0,82.0,79.0,86.0
72222,94.0,96.0,97.0,100.0,99.33333333333333,99.33333333333333,99.66666666666667,99.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,91.0,90.0,94.0,87.0,84.0,79.0,82.0,82.0,88.0,94.0
74756,85.0,90.0,79.0,94.0,94.0,94.0,90.0,93.0,93.0,93.0,97.0,97.0,96.0,90.0,91.0,79.0,65.0,61.0,53.0,48.0,53.0,63.0,82.0,90.0
74775,93.0,92.0,92.0,93.0,100.0,100.0,99.0,96.0,88.0,88.0,87.0,83.0,87.0,87.0,84.0,85.0,93.0,87.0,78.0,79.0,76.0,75.0,84.0,88.0
74776,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,81.0,76.0,79.0,76.0,74.0,74.0,77.0,79.0
74777,91.0,100.0,93.0,98.0,97.0,94.0,95.0,95.0,97.0,97.0,96.0,94.0,95.0,96.0,95.0,94.0,93.0,93.0,85.0,84.0,86.0,79.0,83.0,88.0
74781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,78.0,68.0,65.0,66.0,67.0,71.0,90.0
74782,91.0,94.0,94.0,100.0,97.0,96.0,100.0,94.0,96.0,100.0,100.0,96.0,100.0,100.0,97.0,91.0,82.0,72.0,79.0,77.0,84.0,88.0,90.0,90.0
74783,82.0,82.0,85.0,82.0,96.0,97.0,94.0,88.0,90.0,90.0,87.0,90.0,87.0,85.0,79.0,77.0,77.0,74.0,70.0,74.0,72.0,72.0,77.0,77.0
74787,91.0,94.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,70.0,63.0,63.0,70.0,70.0,70.0,72.0,84.0,87.0
74788,78.0,81.0,86.0,88.0,85.0,89.0,90.0,90.0,89.0,89.0,89.0,91.0,92.0,89.0,84.0,82.0,73.0,65.0,59.0,54.0,52.0,53.0,57.0,76.0
74793,79.0,76.0,79.0,82.0,84.0,82.0,84.0,88.0,88.0,91.0,94.0,94.0,94.0,90.0,76.0,65.0,57.0,57.0,57.0,55.0,54.0,53.0,53.0,61.0
74794,90.0,92.0,93.0,95.0,94.0,94.0,94.0,92.0,92.0,95.0,94.0,95.0,95.0,95.0,83.0,78.0,77.0,67.0,70.0,74.0,72.0,75.0,78.0,86.0
