station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,83.66666666666667,91.66666666666667,91.33333333333333,92.0,93.0,95.33333333333333,94.33333333333333,94.66666666666667,95.33333333333333,95.66666666666667,97.0,97.0,92.66666666666667,90.33333333333333,80.66666666666667,74.0,62.333333333333336,66.33333333333333,63.0,61.333333333333336,62.333333333333336,62.0,62.666666666666664,75.66666666666667
69052,92.0,91.33333333333333,85.33333333333333,91.66666666666667,93.33333333333333,91.66666666666667,91.33333333333333,89.0,89.66666666666667,90.0,91.66666666666667,93.33333333333333,95.0,93.33333333333333,90.66666666666667,89.66666666666667,82.0,76.0,80.33333333333333,84.0,77.66666666666667,77.33333333333333,78.0,76.66666666666667
72201,72.0,74.0,74.0,77.0,82.0,80.0,80.0,82.0,82.0,79.0,85.0,82.0,80.0,77.0,72.0,66.0,66.0,65.0,65.0,65.0,68.0,70.0,72.0,70.0
72202,70.0,72.0,77.0,77.0,79.0,82.0,85.0,85.0,87.0,90.0,87.0,90.0,79.0,77.0,74.0,68.0,64.0,59.0,58.0,63.0,58.0,52.0,56.0,65.0
72203,74.0,77.0,77.0,82.0,82.0,82.0,82.0,97.0,88.0,94.0,94.0,94.0,82.0,74.0,72.0,65.0,68.0,63.0,61.0,66.0,66.0,66.0,61.0,67.0
72204,72.0,74.0,77.0,79.0,85.0,87.0,85.0,85.0,85.0,85.0,85.0,82.0,85.0,74.0,70.0,68.0,63.0,65.0,65.0,63.0,61.0,66.0,63.0,65.0
72205,94.0,84.0,91.0,84.0,97.0,97.0,94.0,96.0,96.0,94.0,96.0,97.0,94.0,90.0,79.0,70.0,59.0,59.0,58.0,52.0,52.0,74.0,65.0,57.0
72206,74.0,77.0,87.0,90.0,88.0,90.0,93.0,96.0,96.0,96.0,96.0,100.0,90.0,82.0,72.0,68.0,63.0,59.0,54.0,68.0,64.0,61.0,66.0,67.0
72210,72.0,76.0,79.66666666666667,82.0,83.66666666666667,88.0,87.0,91.0,88.22222222222223,89.77777777777777,90.1111111111111,90.55555555555556,89.44444444444444,87.0,78.33333333333333,75.0,72.33333333333333,62.666666666666664,64.0,59.0,58.0,61.666666666666664,65.33333333333333,68.33333333333333
72211,65.0,70.0,72.0,70.0,72.0,76.0,76.0,79.0,79.0,79.0,82.0,82.0,77.0,74.0,67.0,68.0,70.0,63.0,58.0,52.0,59.0,54.0,62.0,61.0
72212,73.66666666666667,83.33333333333333,86.0,89.33333333333333,89.0,89.33333333333333,94.0,92.0,92.66666666666667,92.33333333333333,95.0,94.66666666666667,90.33333333333333,83.0,71.66666666666667,64.33333333333333,60.666666666666664,59.0,60.333333333333336,61.0,57.666666666666664,57.333333333333336,71.0,77.66666666666667
72213,90.0,91.0,90.0,90.0,91.0,90.0,90.0,91.0,90.0,91.0,91.0,91.0,91.0,90.0,74.0,65.0,58.0,57.0,50.0,49.0,46.0,53.0,90.0,90.0
72214,85.0,87.0,94.0,94.0,96.0,96.0,94.0,94.0,97.0,97.0,97.0,94.0,94.0,90.0,82.0,74.0,82.0,75.0,77.0,68.0,67.0,68.0,72.0,72.0
72220,100.0,100.0,100.0,100.0,100.0,100.0,90.0,88.0,91.0,88.0,94.0,87.0,88.0,97.0,80.0,77.0,85.0,80.0,77.0,75.0,75.0,75.0,75.0,80.0
72221,94.0,95.0,95.0,95.0,96.0,95.0,95.0,93.0,93.0,94.0,95.0,97.0,98.0,98.0,96.0,90.0,80.0,73.0,78.0,85.0,76.0,76.0,76.0,77.0
72222,91.0,91.0,90.0,91.0,91.0,91.0,88.0,88.0,91.0,94.0,94.0,94.0,94.0,94.0,94.0,87.0,85.0,74.0,74.0,85.0,85.0,87.0,88.0,77.0
74756,68.0,74.0,82.0,88.0,85.0,87.0,88.0,88.0,90.0,88.0,90.0,90.0,90.0,85.0,70.0,61.0,59.0,57.0,54.0,47.0,47.0,47.0,49.0,84.0
74775,97.0,97.0,98.0,98.0,98.0,99.0,98.0,98.0,98.0,98.0,99.0,99.0,97.0,86.0,87.0,80.0,75.0,76.0,77.0,73.0,69.0,71.0,71.0,77.0
74776,88.0,90.0,90.0,94.0,94.0,97.0,97.0,94.0,100.0,94.0,97.0,96.0,97.0,93.0,85.0,72.0,77.0,66.0,72.0,72.0,74.0,77.0,74.0,79.0
74777,82.0,83.0,65.0,84.0,88.0,86.0,85.0,84.0,86.0,86.0,83.0,86.0,87.0,88.0,83.0,91.0,84.0,76.0,75.0,82.0,78.0,82.0,79.0,79.0
74781,76.0,79.0,89.0,88.0,93.0,95.0,94.0,96.0,97.0,97.0,98.0,99.0,92.0,84.0,76.0,67.0,65.0,62.0,60.0,54.0,53.0,50.0,53.0,53.0
74782,88.0,91.0,94.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,87.0,80.0,75.0,68.0,68.0,75.0,75.0,73.0,75.0,77.0,80.0
74783,74.0,77.0,80.0,82.0,85.0,82.0,88.0,85.0,85.0,90.0,94.0,97.0,88.0,82.0,77.0,77.0,73.0,68.0,66.0,68.0,70.0,70.0,70.0,77.0
74787,82.0,88.0,94.0,94.0,96.0,96.0,100.0,100.0,96.0,97.0,100.0,100.0,93.0,91.0,77.0,74.0,70.0,64.0,68.0,68.0,68.0,70.0,75.0,80.0
74788,70.0,72.0,81.0,88.0,84.0,90.0,90.0,91.0,90.0,92.0,92.0,93.0,91.0,82.0,79.0,75.0,73.0,63.0,64.0,59.0,55.0,61.0,61.0,67.0
74793,82.0,84.0,90.0,87.0,90.0,90.0,90.0,88.0,94.0,94.0,88.0,96.0,84.0,79.0,77.0,65.0,57.0,54.0,52.0,50.0,47.0,46.0,42.0,61.0
74794,82.0,91.0,92.0,94.0,94.0,93.0,94.0,95.0,96.0,96.0,96.0,97.0,92.0,82.0,76.0,74.0,73.0,67.0,64.0,65.0,70.0,70.0,70.0,72.0
74795,90.0,96.0,96.0,100.0,100.0,98.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,88.0,88.0,84.0,82.0,79.0,74.0,74.0,77.0,79.0
74796,75.0,84.66666666666667,90.0,90.33333333333333,93.66666666666667,93.66666666666667,94.33333333333333,93.44444444444444,93.55555555555556,95.77777777777777,95.55555555555556,95.8888888888889,88.0,80.0,69.0,63.666666666666664,59.0,55.333333333333336,53.333333333333336,49.333333333333336,51.0,62.666666666666664,60.333333333333336,63.666666666666664
DFSW4,92.66666666666667,96.0,95.66666666666667,96.0,94.66666666666667,94.66666666666667,94.66666666666667,95.66666666666667,94.33333333333333,97.0,95.66666666666667,95.66666666666667,95.33333333333333,94.66666666666667,92.66666666666667,89.0,82.33333333333333,78.33333333333333,71.33333333333333,82.0,77.66666666666667,74.33333333333333,72.0,74.66666666666667
F5PS0,83.66666666666667,87.66666666666667,89.33333333333333,90.66666666666667,94.33333333333333,95.33333333333333,93.33333333333333,92.33333333333333,96.33333333333333,92.33333333333333,93.33333333333333,94.66666666666667,93.33333333333333,88.66666666666667,81.0,72.33333333333333,69.66666666666667,71.66666666666667,71.0,72.66666666666667,74.33333333333333,67.33333333333333,65.0,69.0
G93KN,85.0,86.33333333333333,91.33333333333333,93.0,93.0,94.0,94.33333333333333,95.0,96.33333333333333,94.66666666666667,95.66666666666667,95.33333333333333,94.33333333333333,90.66666666666667,85.33333333333333,74.0,72.0,65.33333333333333,65.0,70.0,83.33333333333333,80.0,74.0,76.0
GDDIA,74.33333333333333,76.66666666666667,77.0,79.0,80.0,80.66666666666667,83.66666666666667,84.33333333333333,84.33333333333333,82.33333333333333,85.33333333333333,84.33333333333333,79.66666666666667,72.0,67.66666666666667,63.0,63.0,63.0,70.0,70.0,69.33333333333333,69.33333333333333,76.66666666666667,77.66666666666667
